,n_mu,n_std,eta_mu,eta_std,s0_mu,s0_std,R_mu,R_std,d_mu,d_std,C1_mu,C1_std,C2_mu,C2_std,C3_mu,C3_std,g1_mu,g1_std,g2_mu,g2_std,g3_mu,g3_std
124,0.5156731772830154,0.4415077787868415,0.5755840005801274,0.4402040796274431,0.2297711044828137,0.43764302137254685,0.6263064577303997,0.4395286698529503,0.40946186171814736,0.44018210847173994,0.5199679171401694,0.4412284369782862,0.7195247002001507,0.4376514871470711,0.2111157200983772,0.4375585794985358,0.4627452050086489,0.4408247124978619,0.7153177847622277,0.43873940108237997,0.5040918780673334,0.44145632934360135
125,0.5157445951648516,0.4410720987944438,0.574938626132857,0.43975171106692573,0.2307442640093267,0.43714052907899026,0.6255151725677582,0.4390656355900104,0.4102629627359889,0.43972519794002596,0.5200361327954455,0.4407909736832149,0.718641999941267,0.4371613221455225,0.21210544006330226,0.43705042813253087,0.4632065619872744,0.44038335327550776,0.7143850489768434,0.4382596996475362,0.5041082621503435,0.44102270587538056
126,0.5158149214047296,0.44063691159640844,0.5742974093623462,0.43929984153579094,0.23171695747025153,0.43663809649905827,0.6247262863192556,0.43860303065319756,0.4110613925298502,0.43926869299131666,0.5201075062060845,0.4403540279216155,0.7177606592422935,0.4366714758417662,0.21309483770834536,0.43654223694650296,0.46366231362100696,0.43994258278198145,0.7134532922304008,0.43778027480228604,0.5041228302501404,0.44058964941436946
127,0.5158840392357424,0.44020221650192365,0.573660362016091,0.43884847229111895,0.2326891805152293,0.4361357267798857,0.6239398089786421,0.43814085666685243,0.4118571371173653,0.43881259505946546,0.5201818717019293,0.43991759885035553,0.7168806856693835,0.4361819514901902,0.21408390894994578,0.4360340099237898,0.46411247011586626,0.4395024017424643,0.7125225215309795,0.4373011295678789,0.5041357076907456,0.44015715971928204
128,0.5159518843868466,0.43976801281816574,0.5730274955277244,0.43839760456331567,0.2336609287480844,0.43563342304423974,0.6231557504953948,0.43767911523621783,0.4126501825014419,0.4383569055642854,0.520259066891702,0.4394816856267964,0.7160020868230125,0.4356927523161277,0.21507264968620002,0.4355257510521887,0.46455704246767454,0.4390628108490597,0.7115927439006428,0.4368222669621478,0.5041470145030127,0.43972523654781986
129,0.5160184444458813,0.4393342998504769,0.5723988210097789,0.4379472395562479,0.23463219772597266,0.43513118839071263,0.6223741207730694,0.43721780794764653,0.41344051467131937,0.43790162591169574,0.5203389327473861,0.4390462874090984,0.7151248703372838,0.4352038815161974,0.21606105579628548,0.43501746432301774,0.4649960424626091,0.4386238107611862,0.7106639663751698,0.4363436899994459,0.5041568654461157,0.43929387965688427
130,0.5160837554733552,0.4389010769024893,0.5717743492493289,0.43749737844728476,0.23560298295943738,0.43462902589459024,0.6215949296689753,0.4367569363686473,0.41422811960513656,0.43744675749391837,0.5204213136868967,0.43861140335651483,0.714249043879874,0.43471534225849223,0.2170491231403117,0.43450915373073223,0.46542948267928114,0.4381854021059712,0.7097361960042863,0.4358654016903628,0.5041653700463533,0.4388630888027401
131,0.5161478959700138,0.4384683432762584,0.5711540907052174,0.43704802238729207,0.23657327991294524,0.43412693860904816,0.6208181869944083,0.4362965020478794,0.41501298327316355,0.4369923016897022,0.5205060576527275,0.4381770326296635,0.7133746151523438,0.4342271376826828,0.2180368475594005,0.4340008232728282,0.46585737649112474,0.43774758547864995,0.708809439852091,0.4353874050413623,0.5041726326496383,0.4384328637411505
132,0.5162109785851929,0.4380360982724264,0.5705380555051232,0.4365991725006385,0.23754308400534643,0.4336249295662547,0.6200439025145509,0.4358365065152089,0.41579509164071976,0.43653825986454947,0.5205930161827039,0.4377431743907569,0.7125015918903763,0.43373927090013364,0.21902422487568962,0.43349247694964477,0.4662797380673601,0.43731036144297825,0.7078837049972541,0.43490970305453236,0.5041787524822284,0.4380032042275096
133,0.5162731403508308,0.43760434119037644,0.5699262534417964,0.4361508298852321,0.23851239061005874,0.43312300177824253,0.6192720859477618,0.43537695128185544,0.4165744306704704,0.4360846333709327,0.5206820444710392,0.4373098278037861,0.7116299818637377,0.4332517449940768,0.22001125089211793,0.43298411876389925,0.46669658237182543,0.43687373053166173,0.7069589985328186,0.43443229872751754,0.5041838237170735,0.4375741100169852
134,0.5163345323002587,0.4371730713283455,0.5693186939692004,0.4357029956125624,0.23948119505522378,0.4326211582377447,0.6185027469646697,0.4349178378405603,0.41735098632455786,0.43563142354850193,0.5207730014212346,0.43687699203466895,0.7107597928761187,0.43276456301981014,0.22099792139210722,0.43247575272010835,0.4671079251604997,0.43643769324679893,0.7060353275658141,0.433955195053538,0.5041879355474937,0.43714558086466127
135,0.5163953091082728,0.4367422879835237,0.568715386199664,0.4352556707277117,0.24044949262418394,0.4321194019192546,0.6177358951876353,0.434459167665693,0.41812474456718796,0.43517863172428317,0.5208657496936904,0.4364446662513819,0.7098910327651564,0.4322777280048602,0.22198423213935456,0.4319673828241653,0.4675137829791284,0.43600225006033105,0.7051126992170266,0.43347839502134466,0.5041911722715113,0.4367176165256612
136,0.516455619240673,0.4363119904521817,0.5681163389022086,0.4348088562493359,0.2414172785563152,0.4316177357803255,0.6169715401907003,0.43400094221327684,0.41889569136779586,0.4347262592128626,0.5209601557491209,0.4360128496240823,0.7090237094027418,0.43179124294909765,0.22297017887781662,0.43145901308317014,0.46791417316156125,0.43556740141449407,0.7041911206210683,0.43300190161505125,0.5041936133876943,0.4362902167552472
137,0.5165155961518578,0.4358821780298217,0.5675215605009882,0.43436255316965494,0.24238454804785622,0.43111616276284115,0.6162096914995812,0.4335431629209945,0.41966381270430403,0.43427430731654815,0.5210560898860344,0.4355815413252198,0.7081578306954082,0.43130511082484924,0.223955757331756,0.4309506475053491,0.4683091138281069,0.43513314772227546,0.7032705989265706,0.43252571781392324,0.5041953336995058,0.4358633813089079
